experiment,entry_prob,n_trades,win_0,win_3,pl_ratio,ev
正类3%+Top30,0.8,103,0.7378640776699029,0.6310679611650486,2.3088199020564777,0.06575308353323911
正类3%+Top40,0.8,144,0.7361111111111112,0.6180555555555556,2.0038834525413436,0.06212911194411062
正类3%+全部58,0.8,132,0.7272727272727273,0.6363636363636364,2.430718918839237,0.05863541163679786
正类8%+全部58,0.9,564,0.700354609929078,0.5797872340425532,1.565923868523784,0.04765542366324703
正类8%+Top40,0.9,413,0.6876513317191283,0.5738498789346247,1.5753283401516478,0.04507180578871149
正类5%+Top30,0.85,101,0.6633663366336634,0.5544554455445545,1.616075144787934,0.04885346717180604
正类5%+Top40,0.85,331,0.6616314199395771,0.5317220543806647,1.676542092430197,0.04285923746210876
正类5%+全部58,0.85,333,0.6576576576576577,0.5435435435435435,1.65630851894723,0.04351066815522317
正类3%+全部58,0.75,1321,0.6532929598788796,0.5056775170325511,1.4804489516737798,0.03364508001485586
正类3%+Top30,0.75,1099,0.6387625113739763,0.5031847133757962,1.5206497796239538,0.03258192896142195
正类8%+Top30,0.85,866,0.6385681293302541,0.49884526558891457,1.3727892824618722,0.03166873405723418
正类3%+Top40,0.75,1478,0.628552097428958,0.4972936400541272,1.4687229481914903,0.0305226173380772
正类5%+Top20,0.75,1491,0.607645875251509,0.4795439302481556,1.4029315312788617,0.02701250672059041
正类3%+Top20,0.7,415,0.6048192771084338,0.4891566265060241,1.549934831656825,0.031150809207799956
正类8%+全部58,0.85,3345,0.6005979073243647,0.46905829596412557,1.3002072594995515,0.025176465263459784
正类8%+Top40,0.85,2916,0.600480109739369,0.4687928669410151,1.3409532519191887,0.025573011955233156
正类8%+Top20,0.8,2859,0.5967121371108779,0.4613501224204267,1.3062442534798895,0.023385664178133137
正类3%+全部58,0.7,7904,0.5938765182186235,0.4316801619433198,1.2050577562892004,0.018296849116656688
正类8%+Top30,0.8,3733,0.5936244307527457,0.4578087329225824,1.230241795364606,0.02148947822856206
正类3%+Top40,0.7,7924,0.5923775870772338,0.4312216052498738,1.2076192267478592,0.01825777450478742
正类5%+全部58,0.8,3282,0.5914076782449725,0.45490554539914685,1.328893636925568,0.023098108608128578
正类8%+Top20,0.85,244,0.5901639344262295,0.4959016393442623,1.2272234399316795,0.021946277521756957
正类5%+Top40,0.8,3209,0.5895917731380492,0.45621688999688376,1.3145680120613832,0.022925128603168223
正类3%+Top30,0.7,6889,0.5871679489040499,0.4299608070837567,1.1975154666840993,0.01740819613905394
正类5%+Top30,0.8,2176,0.5850183823529411,0.4568014705882353,1.3609747482647503,0.023631168723749343
正类8%+全部58,0.8,10147,0.5685424263329063,0.4263329062777175,1.2255773279284914,0.01729881212157982
正类5%+Top40,0.7,27363,0.5661659905712093,0.3930490077842342,1.1628155027974936,0.012930125070973894
正类5%+全部58,0.7,27012,0.5658225973641344,0.39252924626092106,1.1570852516140455,0.012762161152919654
正类5%+Top40,0.75,12581,0.5657737858675781,0.41459343454415387,1.2036490915660663,0.01541148631821395
正类8%+Top40,0.8,9421,0.5651204755333828,0.42776775289247426,1.2452374759114098,0.01747486918900548
正类8%+Top20,0.75,10004,0.5639744102359057,0.4218312674930028,1.2433367862710285,0.017067392064056826
正类5%+Top30,0.7,23271,0.5637918439259164,0.3977482703794422,1.1798644499809787,0.013549103058708725
正类5%+Top20,0.7,6376,0.5624215809284818,0.4157779171894605,1.2150490165142647,0.01506716886901854
正类5%+全部58,0.75,12557,0.5622362029147089,0.411483634626105,1.211484818510642,0.015151279680811001
正类8%+Top30,0.75,11801,0.5610541479535632,0.41615117362935344,1.2331754368382302,0.016085563219573794
正类5%+Top30,0.75,9464,0.5605452240067624,0.4076500422654269,1.2273196580542254,0.015406319843953825
正类8%+全部58,0.7,28079,0.5603475907261655,0.3884397592506856,1.1689564003292188,0.012435827664612972
正类8%+Top40,0.7,27823,0.5601840204147648,0.38849153577975054,1.1690306800801398,0.01247737648854784
正类8%+Top40,0.75,18408,0.5581269013472403,0.4011299435028249,1.2015570500337596,0.014043335420535544
正类8%+Top30,0.7,21381,0.5578784902483513,0.3961461110331603,1.1896793637912653,0.013403344014155369
正类8%+全部58,0.75,19112,0.557817078275429,0.4000104646295521,1.196862448239262,0.01381697651773938
正类8%+Top20,0.7,20334,0.5565555227697453,0.3948559063637258,1.2028837378176707,0.013560959616374761
