strategy,entry_prob,n_trades,win_0,win_3,pl_ratio,ev
单模型XGB,0.9,233,0.6394849785407726,0.5493562231759657,1.417608491241765,0.04143650457427765
单模型LGB,0.9,132,0.6136363636363636,0.5454545454545454,1.452399872967848,0.03976587245733727
单模型LGB,0.85,1105,0.609049773755656,0.48868778280542985,1.3682132562090201,0.029618605897480013
单模型XGB,0.85,1238,0.6082390953150242,0.4862681744749596,1.2590621551469758,0.026686381121237418
单模型XGB,0.8,5117,0.572014852452609,0.427594293531366,1.2216359371873742,0.017107743799352433
单模型LGB,0.8,4746,0.56826801517067,0.433417614833544,1.26799913631277,0.018268156958733413
单模型XGB,0.75,13026,0.5635651773376325,0.4020420697067404,1.1573568669210668,0.013173526882070484
单模型XGB,0.7,24863,0.5599485178779713,0.3818525519848771,1.1322511155448305,0.011134285578300492
单模型LGB,0.75,13125,0.5584,0.4035047619047619,1.1819495121059307,0.01365272471109705
单模型LGB,0.7,26446,0.5580049913030326,0.38410345609922103,1.1526324613674304,0.011594348452089964
单模型LGB,0.6,61700,0.5546515397082658,0.34294975688816853,1.1095796762639158,0.008375791209012693
单模型XGB,0.6,58069,0.554219979679347,0.3433673732972843,1.105430406202278,0.008260357973217291
加权集成,0.6,52965,0.5516095534787123,0.34347210421976776,1.1226717509449065,0.008568543467528514
加权集成,0.7,15964,0.5472312703583062,0.37716111250313206,1.1828391266352083,0.011221784632337362
加权集成,0.75,6231,0.5466217300593805,0.3962445835339432,1.2193057463759482,0.012949397738291825
2/3一致+avg,0.6,49223,0.5450094468033236,0.32685939499827316,1.1374605420407145,0.007856116549373838
平均集成,0.6,51961,0.5437347241200131,0.321163949885491,1.1346854038503926,0.007511643537806888
2/3一致+avg,0.7,16065,0.5419856831621538,0.35076252723311546,1.145594415393531,0.008761525637744492
平均集成,0.7,16065,0.5419856831621538,0.35076252723311546,1.145594415393531,0.008761525637744492
平均集成,0.75,6958,0.541966082207531,0.3676343776947399,1.1702692244333117,0.01002014656566605
2/3一致+avg,0.75,6958,0.541966082207531,0.3676343776947399,1.1702692244333117,0.01002014656566605
3/3一致+avg,0.75,6948,0.541594703511802,0.3671560161197467,1.1681787951310159,0.009913516540121601
3/3一致+avg,0.7,15839,0.5403750236757371,0.34888566197360943,1.1432287726269137,0.008494602342476402
3/3一致+avg,0.6,41010,0.5401853206534991,0.3205315776639844,1.1246590772239757,0.006946837504428888
加权集成,0.8,1632,0.5300245098039216,0.38786764705882354,1.2274352749265403,0.011377129461107922
2/3一致+avg,0.85,438,0.5251141552511416,0.3812785388127854,1.205483636707544,0.010104884729698754
3/3一致+avg,0.85,438,0.5251141552511416,0.3812785388127854,1.205483636707544,0.010104884729698754
平均集成,0.85,438,0.5251141552511416,0.3812785388127854,1.205483636707544,0.010104884729698754
平均集成,0.8,2114,0.5165562913907285,0.3675496688741722,1.1852680032156546,0.0075866701162658895
2/3一致+avg,0.8,2114,0.5165562913907285,0.3675496688741722,1.1852680032156546,0.0075866701162658895
3/3一致+avg,0.8,2114,0.5165562913907285,0.3675496688741722,1.1852680032156546,0.0075866701162658895
加权集成,0.85,249,0.5100401606425703,0.40963855421686746,1.327434322718769,0.01337723416494907
