strategy,entry_prob,n_trades,win_0,win_3,pl_ratio,ev
无过滤,0.9,132,0.6136363636363636,0.5454545454545454,1.452399872967848,0.03976587245733727
无过滤,0.85,1105,0.609049773755656,0.48868778280542985,1.3682132562090201,0.029618605897480013
无过滤,0.8,4746,0.56826801517067,0.433417614833544,1.26799913631277,0.018268156958733413
无过滤,0.75,13125,0.5584,0.4035047619047619,1.1819495121059307,0.01365272471109705
无过滤,0.7,26446,0.5580049913030326,0.38410345609922103,1.1526324613674304,0.011594348452089964
无过滤,0.6,61700,0.5546515397082658,0.34294975688816853,1.1095796762639158,0.008375791209012693
排除panic,0.6,57147,0.5386984443627837,0.3264563319159361,1.0825376972749148,0.006075483142969424
排除panic,0.7,24107,0.5354461359771021,0.3605591736839922,1.1201960110340425,0.007910226394656904
VIX<25,0.6,55368,0.5338101430429129,0.32164788325386506,1.069187609539464,0.005230425238010872
VIX<20,0.6,54811,0.5334330700041963,0.3210486946050975,1.0655428615368454,0.005107679952973149
VIX<30,0.6,55653,0.5326397498787128,0.320593678687582,1.067038428805971,0.005056149371955813
VIX<25,0.7,23328,0.5300497256515775,0.3554098079561043,1.106160580064042,0.006843375208331011
VIX<20,0.7,23138,0.5298210735586482,0.3547411185063532,1.1016176170663954,0.00668902771560731
排除panic,0.75,11719,0.5297380322553119,0.37332536905879343,1.1378758665264128,0.008445033083109003
VIX<30,0.7,23472,0.5296097477845945,0.35446489434219497,1.103765460165753,0.0067118230916110265
排除panic+bear,0.6,47535,0.5235721047649101,0.31766067108446405,1.0684130403330745,0.004228835285403482
只保留bull+neutral,0.6,47535,0.5235721047649101,0.31766067108446405,1.0684130403330745,0.004228835285403482
排除panic+bear且VIX<30,0.6,47535,0.5235721047649101,0.31766067108446405,1.0684130403330745,0.004228835285403482
VIX<30,0.75,11397,0.5231201193296482,0.3664999561288058,1.1178475309637952,0.006919619712469519
VIX<25,0.75,11310,0.5229000884173298,0.36710875331564985,1.121364073457977,0.007011196563072215
VIX<20,0.75,11238,0.5225129026517173,0.3665242925787507,1.1174280374286159,0.0068375539838169165
排除panic+bear,0.7,19839,0.5192297998891073,0.35011845355108623,1.1103513102001543,0.005703838137020953
只保留bull+neutral,0.7,19839,0.5192297998891073,0.35011845355108623,1.1103513102001543,0.005703838137020953
排除panic+bear且VIX<30,0.7,19839,0.5192297998891073,0.35011845355108623,1.1103513102001543,0.005703838137020953
排除panic,0.8,3941,0.5140827201217965,0.37630043136259833,1.1767876487895281,0.007767006723305173
排除panic,0.85,818,0.5134474327628362,0.38875305623471884,1.2186916486173704,0.009780382083044124
排除panic+bear,0.75,9519,0.5092971950835172,0.3581258535560458,1.1297778536075365,0.005464559628554938
排除panic+bear且VIX<30,0.75,9519,0.5092971950835172,0.3581258535560458,1.1297778536075365,0.005464559628554938
只保留bull+neutral,0.75,9519,0.5092971950835172,0.3581258535560458,1.1297778536075365,0.005464559628554938
VIX<30,0.8,3811,0.5059039622146418,0.36788244555234845,1.1426815236036476,0.005534114034425469
VIX<25,0.8,3754,0.5039957378795951,0.3684070324986681,1.146553917457123,0.005421620354427559
VIX<20,0.8,3725,0.5030872483221477,0.367248322147651,1.138124322945425,0.005019053042745664
VIX<30,0.85,780,0.4987179487179487,0.37435897435897436,1.155648901079006,0.00532121250270208
排除panic+bear,0.8,3099,0.49177153920619554,0.36140690545337206,1.1632346184644586,0.004266877017928161
只保留bull+neutral,0.8,3099,0.49177153920619554,0.36140690545337206,1.1632346184644586,0.004266877017928161
排除panic+bear且VIX<30,0.8,3099,0.49177153920619554,0.36140690545337206,1.1632346184644586,0.004266877017928161
VIX<25,0.85,763,0.49148099606815204,0.3748361730013106,1.17335756925564,0.0048599383711993155
VIX<20,0.85,761,0.4914586070959264,0.3745072273324573,1.1603435222484537,0.004409224283873532
排除panic,0.9,92,0.4782608695652174,0.391304347826087,1.1877416821949296,0.0038243499672419995
只保留bull+neutral,0.85,624,0.46314102564102566,0.34775641025641024,1.1792132700930016,0.0006548243871878773
排除panic+bear且VIX<30,0.85,624,0.46314102564102566,0.34775641025641024,1.1792132700930016,0.0006548243871878773
排除panic+bear,0.85,624,0.46314102564102566,0.34775641025641024,1.1792132700930016,0.0006548243871878773
VIX<30,0.9,81,0.4567901234567901,0.38271604938271603,1.185282598700191,-0.00015299166418637766
VIX<25,0.9,81,0.4567901234567901,0.38271604938271603,1.185282598700191,-0.00015299166418637766
VIX<20,0.9,81,0.4567901234567901,0.38271604938271603,1.185282598700191,-0.00015299166418637766
只保留bull+neutral,0.9,63,0.38095238095238093,0.31746031746031744,1.1059559688779175,-0.01794079713906003
排除panic+bear,0.9,63,0.38095238095238093,0.31746031746031744,1.1059559688779175,-0.01794079713906003
排除panic+bear且VIX<30,0.9,63,0.38095238095238093,0.31746031746031744,1.1059559688779175,-0.01794079713906003
