iter	Passed	Remaining
0	5	2522
1	11	2868
2	16	2679
3	20	2595
4	25	2570
5	31	2554
6	35	2521
7	40	2508
8	45	2471
9	51	2545
10	57	2537
11	61	2513
12	66	2492
13	71	2473
14	76	2472
15	81	2459
16	86	2445
17	92	2481
18	97	2466
19	102	2456
20	107	2446
21	111	2432
22	116	2421
23	121	2413
24	128	2442
25	134	2450
26	140	2458
27	146	2463
28	150	2450
29	155	2441
30	161	2444
31	168	2463
32	173	2449
33	177	2436
34	183	2432
35	189	2437
36	195	2440
37	200	2442
38	208	2459
39	212	2449
40	217	2437
41	223	2437
42	228	2429
43	233	2420
44	238	2412
45	243	2405
46	250	2413
47	255	2401
48	260	2393
49	264	2382
50	270	2377
51	274	2366
52	279	2355
53	284	2350
54	291	2356
55	296	2348
56	301	2340
57	306	2337
58	312	2332
59	318	2333
60	325	2345
61	331	2339
62	335	2330
63	340	2322
64	345	2312
65	350	2305
66	355	2298
67	360	2290
68	367	2294
69	372	2289
70	377	2282
71	382	2275
72	387	2268
73	393	2264
74	398	2257
75	403	2250
76	409	2251
77	414	2244
78	419	2237
79	425	2232
80	430	2224
81	436	2223
82	442	2220
83	448	2221
84	453	2213
85	459	2214
86	465	2210
87	470	2203
88	475	2198
89	481	2192
90	487	2192
91	492	2184
92	497	2178
93	502	2171
94	508	2168
95	514	2165
96	520	2162
97	527	2164
98	532	2157
99	537	2150
100	542	2143
101	547	2137
102	552	2130
103	557	2123
104	562	2115
105	567	2108
106	574	2108
107	579	2101
108	584	2095
109	589	2088
110	593	2080
111	598	2074
112	603	2067
113	609	2063
114	615	2059
115	619	2051
116	624	2043
117	628	2036
118	634	2029
119	638	2023
120	643	2016
121	650	2014
122	655	2007
123	660	2001
124	664	1994
125	669	1987
126	674	1980
127	679	1974
128	684	1968
129	690	1966
130	695	1960
131	700	1953
132	705	1946
133	710	1940
134	715	1934
135	720	1928
136	727	1926
137	731	1919
138	737	1914
139	741	1907
140	746	1900
141	751	1894
142	757	1890
143	763	1888
144	768	1881
145	773	1875
146	778	1868
147	783	1862
148	788	1857
149	793	1850
150	798	1844
151	804	1842
152	809	1835
153	814	1829
154	819	1823
155	824	1817
156	829	1811
157	835	1809
158	840	1802
159	847	1800
160	852	1793
161	857	1789
162	864	1786
163	870	1782
164	875	1777
165	880	1771
166	887	1769
167	893	1764
168	897	1758
169	902	1751
170	906	1744
171	912	1740
172	918	1736
173	926	1735
174	931	1730
175	936	1724
176	941	1718
177	946	1711
178	950	1705
179	955	1699
180	962	1696
181	967	1690
182	972	1685
183	977	1679
184	982	1672
185	987	1667
186	992	1661
187	998	1656
188	1005	1653
189	1009	1647
190	1015	1642
191	1020	1637
192	1025	1631
193	1030	1625
194	1035	1619
195	1040	1613
196	1046	1609
197	1051	1604
198	1056	1598
199	1061	1592
200	1067	1587
201	1072	1581
202	1077	1576
203	1083	1572
204	1088	1566
205	1093	1560
206	1098	1555
207	1103	1548
208	1107	1542
209	1113	1538
210	1118	1532
211	1124	1527
212	1129	1522
213	1134	1516
214	1139	1510
215	1144	1504
216	1149	1499
217	1154	1493
218	1161	1490
219	1167	1486
220	1173	1481
221	1178	1475
222	1182	1469
223	1187	1463
224	1192	1458
225	1198	1453
226	1204	1449
227	1209	1443
228	1214	1437
229	1219	1431
230	1223	1425
231	1228	1418
232	1233	1413
233	1241	1410
234	1246	1405
235	1252	1401
236	1258	1396
237	1263	1390
238	1267	1384
239	1272	1378
240	1276	1372
241	1283	1368
242	1287	1362
243	1293	1356
244	1299	1352
245	1305	1347
246	1311	1342
247	1316	1337
248	1322	1332
249	1327	1327
250	1332	1321
251	1337	1316
252	1342	1310
253	1347	1305
254	1352	1299
255	1357	1293
256	1364	1290
257	1369	1284
258	1374	1278
259	1379	1273
260	1384	1267
261	1388	1261
262	1393	1256
263	1400	1251
264	1405	1246
265	1409	1240
266	1414	1234
267	1419	1228
268	1424	1223
269	1429	1217
270	1434	1211
271	1441	1208
272	1446	1202
273	1451	1197
274	1457	1192
275	1462	1186
276	1466	1180
277	1471	1175
278	1476	1169
279	1482	1165
280	1487	1159
281	1493	1154
282	1498	1149
283	1503	1143
284	1508	1138
285	1513	1132
286	1520	1128
287	1525	1122
288	1530	1117
289	1535	1111
290	1540	1106
291	1545	1100
292	1550	1095
293	1555	1090
294	1562	1085
295	1567	1079
296	1571	1074
297	1577	1069
298	1581	1063
299	1586	1057
300	1591	1052
301	1596	1046
302	1601	1041
303	1606	1035
304	1613	1031
305	1617	1025
306	1622	1020
307	1627	1014
308	1633	1009
309	1638	1004
310	1642	998
311	1650	994
312	1655	988
313	1660	983
314	1664	977
315	1669	972
316	1675	967
317	1683	963
318	1688	957
319	1692	952
320	1698	947
321	1704	942
322	1709	936
323	1714	931
324	1720	926
325	1725	920
326	1730	915
327	1734	909
328	1739	904
329	1744	898
330	1749	893
331	1753	887
332	1759	882
333	1764	877
334	1770	871
335	1776	866
336	1781	861
337	1787	856
338	1792	851
339	1799	846
340	1804	841
341	1809	836
342	1814	830
343	1819	824
344	1824	819
345	1829	814
346	1834	808
347	1840	803
348	1845	798
349	1850	793
350	1855	787
351	1860	782
352	1865	776
353	1870	771
354	1876	766
355	1881	761
356	1886	755
357	1891	750
358	1896	744
359	1901	739
360	1906	734
361	1912	728
362	1918	724
363	1923	718
364	1928	713
365	1933	707
366	1938	702
367	1943	697
368	1949	692
369	1956	687
370	1962	682
371	1968	677
372	1973	671
373	1978	666
374	1983	661
375	1988	655
376	1993	650
377	2000	645
378	2004	640
379	2010	634
380	2014	629
381	2019	623
382	2024	618
383	2029	613
384	2036	608
385	2041	603
386	2046	597
387	2051	592
388	2056	586
389	2060	581
390	2065	575
391	2070	570
392	2077	565
393	2082	560
394	2088	555
395	2093	549
396	2097	544
397	2103	539
398	2108	533
399	2113	528
400	2120	523
401	2125	518
402	2130	512
403	2135	507
404	2140	502
405	2145	496
406	2150	491
407	2157	486
408	2163	481
409	2169	476
410	2175	471
411	2180	465
412	2184	460
413	2189	454
414	2196	449
415	2201	444
416	2207	439
417	2212	434
418	2218	428
419	2223	423
420	2228	418
421	2234	412
422	2240	407
423	2245	402
424	2250	397
425	2255	391
426	2260	386
427	2265	381
428	2270	375
429	2276	370
430	2281	365
431	2287	360
432	2292	354
433	2299	349
434	2304	344
435	2309	339
436	2317	334
437	2322	328
438	2327	323
439	2333	318
440	2339	313
441	2346	307
442	2352	302
443	2358	297
444	2363	292
445	2368	286
446	2373	281
447	2378	276
448	2384	270
449	2389	265
450	2396	260
451	2402	255
452	2408	249
453	2414	244
454	2419	239
