universe,weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,passed
SPX,Fund+Ana(V0.2),Fixed_10d,-0.1,0.3,1.927,17.81,156.26,-0.13,8.56,47.2,125,True
SPX,Fund+Ana(V0.2),Fixed_10d,-0.1,0.5,1.965,17.81,162.61,-0.202,14.12,47.2,125,True
SPX,Fund+Ana(V0.2),Fixed_10d,-0.15,0.3,1.988,19.38,169.58,-0.057,9.16,48.8,125,True
SPX,Fund+Ana(V0.2),Fixed_10d,-0.15,0.5,2.035,19.38,177.68,-0.111,14.95,48.8,125,True
SPX,Fund+Ana(V0.2),Fixed_30d,-0.1,0.3,2.012,16.3,163.68,-0.552,11.82,37.8,45,False
SPX,Fund+Ana(V0.2),Fixed_30d,-0.1,0.5,2.118,16.3,180.05,-0.274,15.43,37.8,45,False
SPX,Fund+Ana(V0.2),Fixed_30d,-0.15,0.3,2.106,16.91,192.8,-0.24,7.53,47.5,40,True
SPX,Fund+Ana(V0.2),Fixed_30d,-0.15,0.5,2.206,16.91,210.98,-0.194,12.4,47.5,40,True
SPX,Fund+Ana(V0.2),Signal_5d,-0.1,0.3,1.524,5.58,33.25,-0.291,3.1,0.0,4,False
SPX,Fund+Ana(V0.2),Signal_5d,-0.1,0.5,1.576,8.17,55.41,-0.277,5.16,0.0,4,False
SPX,Fund+Ana(V0.2),Signal_5d,-0.15,0.3,1.502,5.59,32.94,0.045,3.86,0.0,3,False
SPX,Fund+Ana(V0.2),Signal_5d,-0.15,0.5,1.551,8.2,54.91,0.062,6.43,0.0,3,False
SPX,Fund+Ana(V0.2),Signal_10d,-0.1,0.3,1.524,5.58,33.25,-0.291,3.1,0.0,4,False
SPX,Fund+Ana(V0.2),Signal_10d,-0.1,0.5,1.576,8.17,55.41,-0.277,5.16,0.0,4,False
SPX,Fund+Ana(V0.2),Signal_10d,-0.15,0.3,1.502,5.59,32.94,0.045,3.86,0.0,3,False
SPX,Fund+Ana(V0.2),Signal_10d,-0.15,0.5,1.551,8.2,54.91,0.062,6.43,0.0,3,False
SPX,Pure_Fund,Fixed_10d,-0.1,0.3,1.276,14.77,77.87,-0.408,11.41,44.8,125,True
SPX,Pure_Fund,Fixed_10d,-0.1,0.5,1.337,14.77,83.86,-0.47,18.53,44.8,125,True
SPX,Pure_Fund,Fixed_10d,-0.15,0.3,1.288,15.26,81.32,-0.399,12.2,45.6,125,True
SPX,Pure_Fund,Fixed_10d,-0.15,0.5,1.348,15.26,87.43,-0.454,19.66,45.6,125,True
SPX,Pure_Fund,Fixed_30d,-0.1,0.3,0.843,14.53,41.23,-0.659,11.56,31.7,41,False
SPX,Pure_Fund,Fixed_30d,-0.1,0.5,0.953,14.53,49.36,-0.611,18.76,31.7,41,False
SPX,Pure_Fund,Fixed_30d,-0.15,0.3,0.952,13.34,51.37,-0.718,10.07,40.0,40,False
SPX,Pure_Fund,Fixed_30d,-0.15,0.5,1.051,13.34,59.68,-0.647,16.45,40.0,40,False
SPX,Pure_Fund,Signal_5d,-0.1,0.3,1.011,9.44,26.29,-0.961,8.73,0.0,13,False
SPX,Pure_Fund,Signal_5d,-0.1,0.5,1.071,13.63,43.82,-0.951,14.26,0.0,13,False
SPX,Pure_Fund,Signal_5d,-0.15,0.3,0.983,9.49,25.69,-1.269,8.72,0.0,8,False
SPX,Pure_Fund,Signal_5d,-0.15,0.5,1.041,13.72,42.81,-1.251,14.32,0.0,8,False
SPX,Pure_Fund,Signal_10d,-0.1,0.3,0.801,10.62,17.01,-0.961,8.73,0.0,13,False
SPX,Pure_Fund,Signal_10d,-0.1,0.5,0.863,15.34,28.35,-0.951,14.26,0.0,13,False
SPX,Pure_Fund,Signal_10d,-0.15,0.3,0.784,10.64,16.71,-1.269,8.72,0.0,8,False
SPX,Pure_Fund,Signal_10d,-0.15,0.5,0.844,15.39,27.85,-1.251,14.32,0.0,8,False
SPX,Full_FMP,Fixed_10d,-0.1,0.3,1.301,14.29,78.21,-0.934,13.75,41.6,125,False
SPX,Full_FMP,Fixed_10d,-0.1,0.5,1.367,14.29,84.63,-0.926,18.97,41.6,125,False
SPX,Full_FMP,Fixed_10d,-0.15,0.3,1.317,15.6,82.07,-1.049,15.72,42.4,125,True
SPX,Full_FMP,Fixed_10d,-0.15,0.5,1.381,15.6,88.63,-0.955,19.87,42.4,125,True
SPX,Full_FMP,Fixed_30d,-0.1,0.3,1.405,14.54,85.05,-0.69,9.29,34.8,46,False
SPX,Full_FMP,Fixed_30d,-0.1,0.5,1.499,14.54,94.55,-0.746,12.93,34.8,46,False
SPX,Full_FMP,Fixed_30d,-0.15,0.3,1.472,13.18,95.8,-0.951,11.75,39.0,41,False
SPX,Full_FMP,Fixed_30d,-0.15,0.5,1.564,13.18,105.85,-0.802,14.7,39.0,41,False
SPX,Full_FMP,Signal_5d,-0.1,0.3,1.169,6.2,22.07,-0.399,3.85,16.7,6,False
SPX,Full_FMP,Signal_5d,-0.1,0.5,1.212,9.3,36.79,-0.383,6.33,16.7,6,False
SPX,Full_FMP,Signal_5d,-0.15,0.3,1.124,6.24,21.35,0.085,4.05,25.0,4,False
SPX,Full_FMP,Signal_5d,-0.15,0.5,1.164,9.38,35.59,0.102,6.75,25.0,4,False
SPX,Full_FMP,Signal_10d,-0.1,0.3,0.85,7.29,12.03,0.07,3.47,14.3,7,False
SPX,Full_FMP,Signal_10d,-0.1,0.5,0.893,10.91,20.04,0.087,5.66,14.3,7,False
SPX,Full_FMP,Signal_10d,-0.15,0.3,0.793,7.33,11.31,-0.098,4.05,28.6,7,False
SPX,Full_FMP,Signal_10d,-0.15,0.5,0.834,11.01,18.84,-0.079,6.75,28.6,7,False
SPX,Analyst_Heavy,Fixed_10d,-0.1,0.3,1.231,16.77,59.97,-1.378,22.61,48.0,125,True
SPX,Analyst_Heavy,Fixed_10d,-0.1,0.5,1.268,16.77,63.59,-0.886,24.81,48.0,125,True
SPX,Analyst_Heavy,Fixed_10d,-0.15,0.3,1.177,17.46,59.6,-1.264,21.09,50.4,125,True
SPX,Analyst_Heavy,Fixed_10d,-0.15,0.5,1.238,17.46,64.88,-0.845,22.2,50.4,125,True
SPX,Analyst_Heavy,Fixed_30d,-0.1,0.3,1.164,15.61,49.96,-1.139,14.61,35.7,42,False
SPX,Analyst_Heavy,Fixed_30d,-0.1,0.5,1.296,15.61,58.86,-0.916,19.08,35.7,42,False
SPX,Analyst_Heavy,Fixed_30d,-0.15,0.3,1.088,15.07,50.11,-0.743,12.91,46.3,41,True
SPX,Analyst_Heavy,Fixed_30d,-0.15,0.5,1.212,15.37,59.01,-0.471,15.4,46.3,41,True
SPX,Analyst_Heavy,Signal_5d,-0.1,0.3,1.119,5.63,16.02,0.776,4.28,50.0,4,True
SPX,Analyst_Heavy,Signal_5d,-0.1,0.5,1.139,9.19,26.7,0.798,6.91,50.0,4,True
SPX,Analyst_Heavy,Signal_5d,-0.15,0.3,1.099,5.82,15.82,0.621,4.31,50.0,4,True
SPX,Analyst_Heavy,Signal_5d,-0.15,0.5,1.118,9.5,26.37,0.641,7.01,50.0,4,True
SPX,Analyst_Heavy,Signal_10d,-0.1,0.3,1.119,5.63,16.02,-0.047,5.46,33.3,9,False
SPX,Analyst_Heavy,Signal_10d,-0.1,0.5,1.139,9.19,26.7,-0.039,8.91,33.3,9,False
SPX,Analyst_Heavy,Signal_10d,-0.15,0.3,1.099,5.82,15.82,-0.155,5.32,33.3,9,False
SPX,Analyst_Heavy,Signal_10d,-0.15,0.5,1.118,9.5,26.37,-0.14,8.7,33.3,9,False
R2K,Fund+Ana(V0.2),Fixed_10d,-0.1,0.3,0.408,25.07,12.15,-0.591,21.16,48.8,125,True
R2K,Fund+Ana(V0.2),Fixed_10d,-0.1,0.5,0.408,25.07,12.15,-0.426,21.92,48.8,125,True
R2K,Fund+Ana(V0.2),Fixed_10d,-0.15,0.3,0.403,24.55,12.07,-0.521,22.61,47.5,120,True
R2K,Fund+Ana(V0.2),Fixed_10d,-0.15,0.5,0.403,24.55,12.07,-0.466,24.58,47.5,120,True
R2K,Fund+Ana(V0.2),Fixed_30d,-0.1,0.3,0.444,18.56,13.1,-0.737,21.15,43.9,41,True
R2K,Fund+Ana(V0.2),Fixed_30d,-0.1,0.5,0.444,18.56,13.1,-0.545,22.69,43.9,41,True
R2K,Fund+Ana(V0.2),Fixed_30d,-0.15,0.3,0.526,16.89,17.4,-0.616,19.43,47.5,40,True
R2K,Fund+Ana(V0.2),Fixed_30d,-0.15,0.5,0.526,16.89,17.4,-0.494,21.0,47.5,40,True
R2K,Fund+Ana(V0.2),Signal_5d,-0.1,0.3,-0.443,22.5,-10.61,0.494,5.34,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_5d,-0.1,0.5,-0.443,22.5,-10.61,0.525,8.51,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_5d,-0.15,0.3,-0.422,24.36,-12.77,0.339,5.61,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_5d,-0.15,0.5,-0.422,24.36,-12.77,0.367,8.99,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_10d,-0.1,0.3,-0.443,22.5,-10.61,0.494,5.34,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_10d,-0.1,0.5,-0.443,22.5,-10.61,0.525,8.51,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_10d,-0.15,0.3,-0.422,24.36,-12.77,0.339,5.61,25.0,4,False
R2K,Fund+Ana(V0.2),Signal_10d,-0.15,0.5,-0.422,24.36,-12.77,0.367,8.99,25.0,4,False
R2K,Pure_Fund,Fixed_10d,-0.1,0.3,1.123,17.92,51.03,0.418,19.67,48.7,119,True
R2K,Pure_Fund,Fixed_10d,-0.1,0.5,1.123,17.92,51.03,0.542,19.67,48.7,119,True
R2K,Pure_Fund,Fixed_10d,-0.15,0.3,1.235,17.36,58.92,0.439,19.0,49.6,119,True
R2K,Pure_Fund,Fixed_10d,-0.15,0.5,1.235,17.36,58.92,0.541,19.0,49.6,119,True
R2K,Pure_Fund,Fixed_30d,-0.1,0.3,0.272,29.34,7.2,-0.047,14.93,43.9,41,True
R2K,Pure_Fund,Fixed_30d,-0.1,0.5,0.272,29.34,7.2,0.106,15.95,43.9,41,True
R2K,Pure_Fund,Fixed_30d,-0.15,0.3,0.568,28.82,22.39,0.273,16.63,60.0,40,True
R2K,Pure_Fund,Fixed_30d,-0.15,0.5,0.568,28.82,22.39,0.362,16.63,60.0,40,True
R2K,Pure_Fund,Signal_5d,-0.1,0.3,0.477,16.04,7.39,0.487,5.35,25.0,4,False
R2K,Pure_Fund,Signal_5d,-0.1,0.5,0.477,16.04,7.39,0.516,8.52,25.0,4,False
R2K,Pure_Fund,Signal_5d,-0.15,0.3,0.474,17.84,5.26,0.394,5.47,25.0,4,False
R2K,Pure_Fund,Signal_5d,-0.15,0.5,0.474,17.84,5.26,0.422,8.74,25.0,4,False
R2K,Pure_Fund,Signal_10d,-0.1,0.3,0.48,15.85,8.82,0.512,5.34,25.0,4,False
R2K,Pure_Fund,Signal_10d,-0.1,0.5,0.48,15.85,8.82,0.542,8.5,25.0,4,False
R2K,Pure_Fund,Signal_10d,-0.15,0.3,0.476,16.6,6.69,0.436,5.36,25.0,4,False
R2K,Pure_Fund,Signal_10d,-0.15,0.5,0.476,16.6,6.69,0.464,8.57,25.0,4,False
R2K,Full_FMP,Fixed_10d,-0.1,0.3,0.522,19.06,19.2,0.413,17.65,49.6,125,True
R2K,Full_FMP,Fixed_10d,-0.1,0.5,0.522,19.06,19.2,0.569,17.65,49.6,125,True
R2K,Full_FMP,Fixed_10d,-0.15,0.3,0.579,20.42,22.9,0.504,17.15,49.6,125,True
R2K,Full_FMP,Fixed_10d,-0.15,0.5,0.579,20.42,22.9,0.621,17.15,49.6,125,True
R2K,Full_FMP,Fixed_30d,-0.1,0.3,0.004,19.91,-3.3,0.222,15.04,46.3,41,True
R2K,Full_FMP,Fixed_30d,-0.1,0.5,0.004,19.91,-3.3,0.355,15.04,46.3,41,True
R2K,Full_FMP,Fixed_30d,-0.15,0.3,0.457,21.47,15.99,0.556,15.42,52.5,40,True
R2K,Full_FMP,Fixed_30d,-0.15,0.5,0.457,21.47,15.99,0.602,15.8,52.5,40,True
R2K,Full_FMP,Signal_5d,-0.1,0.3,0.129,12.68,1.48,0.755,5.24,50.0,4,True
R2K,Full_FMP,Signal_5d,-0.1,0.5,0.129,12.68,1.48,0.791,8.26,50.0,4,True
R2K,Full_FMP,Signal_5d,-0.15,0.3,0.085,12.83,0.71,0.654,5.28,50.0,4,True
R2K,Full_FMP,Signal_5d,-0.15,0.5,0.085,12.83,0.71,0.687,8.35,50.0,4,True
R2K,Full_FMP,Signal_10d,-0.1,0.3,-0.398,23.67,-13.13,0.606,5.28,50.0,4,True
R2K,Full_FMP,Signal_10d,-0.1,0.5,-0.398,23.67,-13.13,0.638,8.32,50.0,4,True
R2K,Full_FMP,Signal_10d,-0.15,0.3,0.184,16.88,3.14,0.498,5.31,50.0,4,True
R2K,Full_FMP,Signal_10d,-0.15,0.5,0.184,16.88,3.14,0.528,8.41,50.0,4,True
R2K,Analyst_Heavy,Fixed_10d,-0.1,0.3,-0.38,43.58,-24.01,0.172,23.04,50.0,120,True
R2K,Analyst_Heavy,Fixed_10d,-0.1,0.5,-0.38,43.58,-24.01,0.452,23.08,50.0,120,True
R2K,Analyst_Heavy,Fixed_10d,-0.15,0.3,-0.281,44.66,-20.14,-0.168,26.98,50.0,120,True
R2K,Analyst_Heavy,Fixed_10d,-0.15,0.5,-0.281,44.66,-20.14,0.117,28.29,50.0,120,False
R2K,Analyst_Heavy,Fixed_30d,-0.1,0.3,0.081,45.46,-18.19,-0.115,18.99,48.8,41,True
R2K,Analyst_Heavy,Fixed_30d,-0.1,0.5,0.081,45.46,-18.19,0.25,20.86,48.8,41,True
R2K,Analyst_Heavy,Fixed_30d,-0.15,0.3,0.197,39.85,-7.68,0.791,14.67,60.0,40,True
R2K,Analyst_Heavy,Fixed_30d,-0.15,0.5,0.197,39.85,-7.68,1.014,16.57,60.0,40,True
R2K,Analyst_Heavy,Signal_5d,-0.1,0.3,0.443,31.6,8.27,0.883,11.57,66.7,3,True
R2K,Analyst_Heavy,Signal_5d,-0.1,0.5,0.443,31.6,8.27,0.945,17.47,66.7,3,True
R2K,Analyst_Heavy,Signal_5d,-0.15,0.3,0.436,31.57,7.01,0.863,11.6,66.7,3,True
R2K,Analyst_Heavy,Signal_5d,-0.15,0.5,0.436,31.57,7.01,0.925,17.53,66.7,3,True
R2K,Analyst_Heavy,Signal_10d,-0.1,0.3,0.477,32.56,8.36,0.842,11.52,75.0,4,True
R2K,Analyst_Heavy,Signal_10d,-0.1,0.5,0.477,32.56,8.36,0.902,17.39,75.0,4,True
R2K,Analyst_Heavy,Signal_10d,-0.15,0.3,0.528,31.57,18.66,0.82,11.54,75.0,4,True
R2K,Analyst_Heavy,Signal_10d,-0.15,0.5,0.528,31.57,18.66,0.88,17.45,75.0,4,True
